phase,task,model_version,model,format,camera,gt_camera,metric_median,metric_p95,metric_mean,precision,recall,f1,n_faux_positifs,far_per_hour,fps,latency_mean_ms,alerts_duplicated,global_id_switches,source_csv
phase2,tad,,yolov8s,pt,cam_03,,0.52,98.56,29.23,0.6667,0.4444,0.5333,2,12.03,74.7,13.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_03\yolov8s\tad_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,tad,,rtdetr-l,pt,cam_05,,1.24,92.896,19.789,0.2593,1.0,0.4118,40,240.59,25.5,39.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_05\rtdetr-l\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_05,,1.56,45.62,9.625,0.3793,0.7857,0.5116,18,108.27,60.8,16.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_05\yolo11s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_05,,1.56,119.23,28.067,0.3871,0.8571,0.5333,19,114.28,72.2,13.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_05\yolov8n\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_05,,2.38,78.338,17.373,0.5,0.8571,0.6316,12,72.18,74.7,13.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_05\yolov8s\tad_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,tad,,rtdetr-l,pt,cam_07,,1.06,10.67,2.92,0.5455,1.0,0.7059,10,60.15,25.3,39.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_07\rtdetr-l\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolo11s,pt,cam_07,,5.76,361.44,75.164,0.4074,0.9167,0.5641,16,96.24,58.1,17.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_07\yolo11s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolov8n,pt,cam_07,,7.64,46.486,13.044,0.3571,0.8333,0.5,18,108.27,71.1,14.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_07\yolov8n\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,tad,,yolov8s,pt,cam_07,,4.96,13.944,5.969,0.2571,0.75,0.383,26,156.39,73.9,13.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\tad\V3_pt\cam_07\yolov8s\tad_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolo11s,fp32_engine,cam_02,,,,,0.0,0.0,0.0,0,0.0,72.0,13.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_02\yolo11s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_02,,,,,0.0,0.0,0.0,0,0.0,115.6,8.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_02\yolov8n\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_02,,,,,0.0,0.0,0.0,0,0.0,112.2,8.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_02\yolov8s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,trd,,yolo11s,fp32_engine,cam_03,,,,,0.0,0.0,0.0,0,0.0,78.8,12.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_03\yolo11s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_03,,,,,0.0,0.0,0.0,0,0.0,123.1,8.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_03\yolov8n\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_03,,,,,0.0,0.0,0.0,0,0.0,114.1,8.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_03\yolov8s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,trd,,yolo11s,fp32_engine,cam_05,,,,,0.0,0.0,0.0,0,0.0,90.0,11.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_05\yolo11s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_05,,,,,0.0,0.0,0.0,0,0.0,110.8,9.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_05\yolov8n\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_05,,,,,0.0,0.0,0.0,0,0.0,113.2,8.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_05\yolov8s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,trd,,yolo11s,fp32_engine,cam_07,,,,,0.0,0.0,0.0,0,0.0,67.4,14.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_07\yolo11s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_07,,,,,0.0,0.0,0.0,0,0.0,112.7,8.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_07\yolov8n\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_07,,,,,0.0,0.0,0.0,0,0.0,110.6,9.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_fp32_engine\cam_07\yolov8s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,trd,,rtdetr-l,pt,cam_02,,,,,0.0,0.0,0.0,0,0.0,18.4,54.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_02\rtdetr-l\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_02,,,,,0.0,0.0,0.0,0,0.0,16.5,60.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_02\yolo11s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_02,,,,,0.0,0.0,0.0,0,0.0,40.7,24.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_02\yolov8n\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_02,,,,,0.0,0.0,0.0,0,0.0,67.1,14.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_02\yolov8s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,rtdetr-l,pt,cam_03,,,,,0.0,0.0,0.0,0,0.0,18.4,54.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_03\rtdetr-l\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_03,,,,,0.0,0.0,0.0,0,0.0,34.1,29.3,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_03\yolo11s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_03,,,,,0.0,0.0,0.0,0,0.0,42.2,23.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_03\yolov8n\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_03,,,,,0.0,0.0,0.0,0,0.0,68.0,14.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_03\yolov8s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,rtdetr-l,pt,cam_05,,,,,0.0,0.0,0.0,0,0.0,17.6,56.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_05\rtdetr-l\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_05,,,,,0.0,0.0,0.0,0,0.0,34.0,29.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_05\yolo11s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_05,,,,,0.0,0.0,0.0,0,0.0,41.7,24.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_05\yolov8n\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_05,,,,,0.0,0.0,0.0,0,0.0,69.4,14.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_05\yolov8s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,rtdetr-l,pt,cam_07,,-6.56,-3.644,-6.56,0.6667,0.2857,0.4,1,6.01,10.1,99.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_07\rtdetr-l\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_07,,,,,0.0,0.0,0.0,0,0.0,34.4,29.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_07\yolo11s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_07,,,,,0.0,0.0,0.0,0,0.0,41.3,24.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_07\yolov8n\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
